scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
Senior Citizens Pension Scheme,Government,60+,All,All,All,India-wide,Financial Security for Elderly,Elderly residents of India,"Monthly pension, financial security",Apply at local bank branches or online,https://seniorspension.gov.in,Monthly pension INR 2000-5000,Lifetime,N/A,Monthly
Youth Entrepreneur Fund,Private,19-35,All,All,Upper,India-wide,Support for Youth-led Startups,Young entrepreneurs with innovative ideas,"Seed capital, mentoring, networking",Apply online via official portal,https://youthentrepreneur.in,N/A,1-3 years,Up to INR 10 lakh,One-time
Mudra Loan Scheme,Government,19-60,All,All,Below Poverty Line,India-wide,"Micro, Small and Medium Enterprises (MSME) Financing","Micro, Small, and Medium Enterprises, entrepreneurs","Loan amounts up to INR 10 lakh, flexible repayment",Apply through banks or microfinance institutions,https://mudra.org.in,Interest rate 8-15% annually,1-5 years,Based on loan terms,Monthly or quarterly
Skilling India Initiative,Government,19-35,All,All,All,India-wide,"Skill Development, Employment Generation","Young unemployed, students, fresh graduates","Skill training, certification, job placements",Apply through designated training centers or online,https://skillingindia.gov.in,N/A,Varies,N/A,N/A
Women in Agriculture Scheme,Government,19-60,Female,All,All,Rural India,Empowering Women in Agriculture,"Women farmers, rural women","Training, access to finance, market support",Application at local agriculture offices,https://womenagriculture.in,N/A,Ongoing,N/A,N/A
Financial Literacy Campaign,Government,All,All,All,All,India-wide,Financial Education and Literacy,All residents of India,"Workshops, seminars, online resources",Participation via local events or online registration,https://finlitcampaign.in,N/A,Ongoing,N/A,N/A
Enterprise Support Program,Private,19-60,All,OBC,Upper,Urban India,Business Development and Support,"Small and medium enterprises, startups","Funding, mentoring, networking events",Apply through official portal or partner organizations,https://enterprisesupport.in,N/A,1-3 years,N/A,N/A
Rural Financial Inclusion Initiative,Government,All,All,All,Below Poverty Line,Rural India,Financial Inclusion in Rural Areas,"Rural residents, farmers, small entrepreneurs","Banking access, credit facilities, financial literacy",Apply at local branches or through government portals,https://ruralfin.in,N/A,Ongoing,N/A,N/A
Start-up India Scheme,Government,19-35,All,All,All,India-wide,Foster Startups and Innovation,"Startups registered in India, up to 10 years old","Funding, incubation support, mentorship",Register online via official portal,https://startupindia.gov.in,N/A,Ongoing,N/A,N/A
Women Self-Help Group Financing,Private,19-60,Female,OBC,Below Poverty Line,Rural India,Empowering Women through Microfinancing,"Women in SHGs, rural areas","Microfinance loans, capacity building",Apply through local SHG federations,https://wshgfin.in,Interest rate 10-16% annually,1-5 years,Based on loan terms,Monthly
Apna Ghar Home Loan,Private,25-60,All,All,Upper,Urban India,Affordable Housing Finance,"Working professionals, urban residents",Home loans at competitive interest rates,Apply online or at bank branches,https://apnagharmortgage.in,Interest rate 7-9% p.a.,10-30 years,Based on loan amount,Monthly
Rural Microfinance Scheme,Private,19-60,All,ST,Below Poverty Line,Rural India,Microfinance for Rural Entrepreneurs,"Rural residents, small entrepreneurs","Microloans, financial training",Apply via local microfinance institutions,https://ruralmicrofinance.in,Interest rate 12-20% annually,1-3 years,Based on loan agreement,Monthly
Smart Card Financial Access,Private,All,All,All,All,Urban and Rural,Universal Financial Access via Smart Cards,Residents with identification proof,"Easy cashless transactions, identity verification",Apply at bank or financial service centers,https://smartcardaccess.in,N/A,N/A,N/A,N/A
Elderly Care Support Program,Government,60+,All,All,Middle,India-wide,Support and Care for Elderly,Elderly residents of India,"Financial aid, healthcare assistance",Apply online or at local government offices,https://elderlycare.in,N/A,Ongoing,N/A,N/A
Skill Up for Youth Scheme,Government,19-35,All,All,Middle,India-wide,Skill Development for Youth Employment,Young unemployed and students,"Training, certification, job placement support",Apply online or through training centers,https://skillup.in,N/A,Varies,N/A,N/A
Urban Credit Card Access Program,Private,25-60,All,All,Middle,Urban India,Credit Access for Urban Professionals,"Working professionals, residents in urban areas","Credit card facility, credit limit, rewards",Apply online or at bank branches,https://urbancredit.in,Interest rate 15-20% annually,N/A,N/A,N/A
Agriculture Insurance Scheme,Government,All,All,All,All,Agricultural regions,"Crop Insurance, Risk Mitigation","Farmers, agricultural stakeholders","Crop insurance, financial protection against losses",Apply through government schemes or insurance companies,https://agriinsurance.in,N/A,Ongoing,Premium based on crop and coverage,N/A
Youth Skill Development Loan,Private,19-35,All,All,Middle,India-wide,Microfinance for Skill Training,"Young adults, students, trainees","Loan for skill training, flexible repayment",Apply at banks or financial institutions,https://youthskillloan.in,Interest rate 9-14% annually,1-3 years,Based on loan agreement,Monthly
Women Entrepreneurs Incubation Fund,Private,19-60,Female,OBC,Upper,Urban India,Support Women-led Startups,"Women entrepreneurs, startups in incubators","Funding, mentorship, networking",Apply through incubation centers or online,https://womenincubator.in,N/A,1-2 years,N/A,N/A
Rural Enterprise Development Program,Government,19-60,All,ST,Below Poverty Line,Rural India,Rural Enterprise Promotion,"Rural entrepreneurs, farmers","Funding, training, market access",Apply via local government offices or online,https://ruralenterprise.in,N/A,Varies,N/A,N/A
Startup Skill Advancement Scheme,Government,19-35,All,All,All,India-wide,Startup Skill Enhancement,Startups and entrepreneurs,"Skill training, mentorship, funding support",Register online via official portal,https://startupskill.in,N/A,Varies,N/A,N/A
Self-Help Group Bank Linkage Program,Government,19-60,All,OBC,Below Poverty Line,India-wide,Financial Inclusion for SHGs,SHGs registered with government agencies,"Bank linkage, credit access, capacity building",Apply through banks or government portals,https://shgbank.in,N/A,Ongoing,N/A,N/A
Skill Development for Rural Youth,Government,19-35,All,All,Below Poverty Line,Rural India,Rural Youth Skill Training,"Rural youth, unemployed","Skill training, certification, employment support",Apply via local training centers or online,https://ruralskill.in,N/A,Varies,N/A,N/A
Financial Inclusion through Post Offices,Government,All,All,All,All,India-wide,Access to Banking via Post Offices,All residents of India,"Banking services, microfinance, savings schemes",Visit post office branches or apply online,https://postofficebank.in,N/A,Ongoing,N/A,N/A
Women in Microfinance Initiative,Private,19-60,Female,OBC,Below Poverty Line,Rural India,Empowering Women in Microfinance,"Women in microfinance sectors, rural areas","Microfinance loans, capacity building",Apply via microfinance institutions or SHG federations,https://wmicrofinance.in,Interest rate 10-16% annually,1-3 years,Based on loan terms,Monthly
Urban Self-Employment Scheme,Government,19-60,All,All,Middle,Urban India,Self-Employment Support in Urban Areas,"Urban unemployed youth, micro-entrepreneurs","Seed capital, training, market linkage",Apply at local government offices or online,https://urbanselfemp.in,N/A,1-3 years,N/A,N/A
Rural Women Empowerment Fund,Private,19-60,Female,OBC,Below Poverty Line,Rural India,Empowering Rural Women,"Women in rural areas, SHGs","Microfinance, training, community support",Apply via local SHG or bank,https://ruralwomene.in,Interest rate 10-16% annually,1-5 years,Based on loan terms,Monthly
Digital Payment Safety Campaign,Government,All,All,All,All,India-wide,Promote Safe Digital Payments,All residents with access to digital devices,"Awareness, safety tips, fraud prevention",Participate via online webinars or local workshops,https://digitalpay.in,N/A,Ongoing,N/A,N/A
Agricultural Credit Guarantee Scheme,Government,All,All,All,All,Agricultural regions,Credit Risk Mitigation for Farmers,Farmers seeking credit,"Guarantee cover for loans, risk mitigation",Apply through banks and cooperative societies,https://acgs.in,N/A,Ongoing,N/A,N/A
Start-up Incubation Support,Private,19-35,All,All,All,India-wide,Support Startup Incubators and Entrepreneurs,Registered incubators and startups,"Funding, mentorship, workspace",Apply via official incubation portals,https://startupincubator.in,N/A,1-3 years,N/A,N/A
Financial Inclusion via Mobile Banking,Government,All,All,All,All,India-wide,Promote Mobile Banking Access,"Mobile phone users, residents of India","Mobile transactions, savings, payments",Register through banks or mobile service providers,https://mobilebank.in,N/A,Ongoing,N/A,N/A
Rural Education Support Program,Government,6-18,All,All,Below Poverty Line,Rural India,Improve Rural Education and Skill Development,Students in rural areas,"Free education, skill training",Apply at local education offices or online,https://ruraleducation.in,N/A,Ongoing,N/A,N/A
Women in Microfinance Initiative,Private,19-60,Female,OBC,Below Poverty Line,Rural India,Empowering Women in Microfinance,"Women in microfinance sectors, rural areas","Microfinance loans, capacity building",Apply via microfinance institutions or SHG federations,https://wmicrofinance.in,Interest rate 10-16% annually,1-3 years,Based on loan terms,Monthly
Smart Village Infrastructure Scheme,Government,All,All,All,All,Rural India,Rural Infrastructure Development,Local government and community groups,"Roads, sanitation, electrification",Apply through rural development programs,https://smartvillage.in,N/A,Ongoing,N/A,N/A
Start Green Business Initiative,Private,19-35,All,All,Upper,Urban India,Promote Eco-friendly Startups,Startups with green technology,"Funding, incubation, market access",Apply via eco-entrepreneur portals,https://greenbiz.in,N/A,1-2 years,N/A,N/A
