scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Financial Literacy Campaign for Women,Government,19-60,Female,OBC,Middle,Urban,Financial Literacy for Women,Women with no prior financial literacy,"Financial knowledge, empowerment","Community workshops, online modules",https://womenfinancialliteracy.gov.in,N/A,Ongoing
Startup India Hub,Government,19-35,All,All,Middle,Urban and Rural,Support for Startups and Entrepreneurs,"Registered startups, entrepreneurs","Mentorship, networking, funding opportunities",Online registration,https://startupindia.gov.in,N/A,N/A
Rural Micro Credit Initiative,Government,All,All,All,Below Poverty Line,Rural,Microcredit for Rural Poor,Rural residents below poverty line,"Microloans, financial literacy programs",Application at local banks or cooperatives,https://ruralmicrocredit.gov.in,Interest rate 11-13% p.a.,1-3 years
Digital Payment Facilitation Scheme,Private,6-60+,All,All,All,All India,Promote Digital Payments and Transactions,All residents with bank account,"Incentives for digital transactions, ease of payment",Download app or register at banking point,https://digitalpayments.org,N/A,Ongoing
Skill Development for Financial Inclusion,Government,19-35,All,All,Middle,All India,Enhance Financial Skills and Literacy,"Young adults, students, working individuals","Financial education, skill certification",Enroll in government-approved training programs,https://financeskills.gov.in,N/A,6 months to 1 year
Loan Guarantee Scheme for Small Businesses,Government,19-60,All,All,Middle,Urban,Supporting Small Business Loans,"Small and medium enterprises, startups","Loan guarantees, lower interest rates",Apply through banks or financial institutions,https://smallbusinesstloan.gov.in,Interest rate 8-10%,2-5 years
Educational Loan Scheme for Students,Government,19-35,All,All,All,All India,Funding for Higher Education,Students enrolled in recognized institutions,"Loan at concessional interest rates, flexible repayment",Apply online or at bank branch,https://educationloan.gov.in,Interest + principal,5-15 years
Women Savings and Credit Scheme,Government,19-60,Female,OBC,Middle,Urban,Promoting Savings and Credit for Women,Women above 18 with income proof,"Savings accounts, microloans, financial literacy",Application at banks or cooperative societies,https://womansavings.gov.in,"Interest on savings, loan repayments",N/A
Rural Electronic Payment System,Government,All,All,All,Below Poverty Line,Rural,Facilitate Electronic Payments in Rural Areas,Rural residents with bank account,"Digital transaction facilities, financial inclusion",Bank account registration and mobile app onboarding,https://ruralelectronicpayments.gov.in,N/A,Ongoing
Mobile Banking Campaign for Women,Government,19-60,Female,OBC,Middle,Urban,Promote Mobile Banking Usage among Women,"Women with bank accounts, training support","Mobile banking access, financial empowerment","Training sessions, bank registration",https://mobilebanking.gov.in,N/A,Ongoing
Financial Inclusion through Cooperative Banks,Government,All,All,All,All,All India,Leverage Cooperative Banks for Financial Inclusion,Residents with cooperative bank accounts,"Access to microcredit, savings, insurance services",Visit cooperative bank branch,https://cooperativebank.gov.in,N/A,Ongoing
Youth Financial Literacy Campaign,Government,6-18,All,All,All,All India,Financial Literacy for Youth,Students and young adults,"Financial knowledge, improved money management",School and community workshops,https://youthfinlit.gov.in,N/A,Ongoing
Small Farmers Credit Scheme,Government,All,All,All,Below Poverty Line,Rural,Credit Support for Small Farmers,"Small farmers, landholders","Low-interest loans, subsidy programs",Application at local agriculture offices,https://smallfarmers.gov.in,Interest rate 7-10% p.a.,1-3 years
Financial Inclusion via Digital Wallets,Private,19-60,All,All,Middle,Urban and Rural,Promote Digital Wallet Adoption,"All bank account holders, mobile users","Easy transactions, discounts, cashback offers",Download app and register,https://digitalwallets.org,N/A,Ongoing
Energy Efficient Loan Scheme,Government,36-60,All,All,Upper,Urban,Promote Energy-efficient Home Improvements,Homeowners with verifiable income,"Lower interest rates, subsidies",Application through approved banks,https://energyefficient.gov.in,Interest rate 6-8%,3-10 years
Rural Digital Literacy Program,Government,6-18,All,All,Below Poverty Line,Rural,Digital Literacy for Rural Youth,Rural youth below age 18,"Digital skills, access to online services",School and NGO collaborations,https://ruraldigital.gov.in,N/A,1-2 years
Finance for Startups in Tier 2 Cities,Private,19-35,All,All,Middle,Tier 2 Cities,Support Startup Ecosystem in Tier 2 Cities,Startups registered in Tier 2 cities,"Funding, mentorship, market linkages",Online application on startup portal,https://startuptier2.in,N/A,N/A
Rural Employment Guarantee Scheme,Government,19-60,All,All,Below Poverty Line,Rural,Employment Guarantee for Rural Poor,Rural residents with no steady income,"Wage employment, skill development",Apply at local employment office,https://ruralemployment.gov.in,N/A,Lifetime
Financial Inclusion through Digital Savings Accounts,Government,All,All,All,All,All India,Digital Savings Accounts for All,Any Indian resident,"No minimum balance, easy access",Bank registration or online opening,https://digitalsavings.gov.in,N/A,N/A
Skill Development in Rural Areas,Government,19-60,All,All,Below Poverty Line,Rural,Skill Development for Rural Workforce,Rural youth and women,"Skill training, employment opportunities",Application through local training centers,https://ruralskill.gov.in,N/A,6 months to 1 year
Tax Saving Investment Scheme,Private,19-35,All,All,Upper,All India,Tax Savings and Investment Growth,Taxpayers and investors,"Tax deductions, investment options",Online or at authorized agents,https://taxinvestment.in,"Variable, depends on investment type",N/A
Health Insurance for Poor Families,Government,All,All,SC,Below Poverty Line,Rural and Urban,Health Coverage for Poor,Families below poverty line,"Health insurance coverage, cashless treatment",Application at local health centers or online,https://healthinsure.gov.in,N/A,1 year renewable
National Digital Payments Campaign,Government,6-18,All,All,All,All India,Promote Digital Payments among Youth,Students and young adults,"Incentives, digital literacy",School campaigns and online registration,https://digitalpayments.gov.in,N/A,Ongoing
Rural Credit Access Program,Government,All,All,All,Below Poverty Line,Rural,Enhanced Rural Credit Access,Farmers and rural entrepreneurs,"Microloans, credit facilities",Application at local bank branches,https://ruralcredit.gov.in,Interest rate 7-10% p.a.,1-3 years
Women in Agriculture Support Scheme,Government,19-60,Female,OBC,Middle,Rural,Support Women Farmers and Entrepreneurs,Women engaged in agriculture,"Low-interest loans, training",Application at agriculture offices,https://womenagri.gov.in,Interest rate 7-9% p.a.,1-3 years
Financial Support for Education of Girls,Government,6-18,Female,All,Below Poverty Line,All India,Promote Girl Education,Girls below age 18 from low-income families,"Scholarships, free books, transportation",Application at schools or local offices,https://girlchildeducation.gov.in,N/A,Ongoing
Urban Microcredit Scheme,Private,19-60,All,All,Middle,Urban,Microcredit for Urban Poor,Urban residents with low income,"Microloans, financial literacy",Application through microfinance institutions,https://urbanmicrocredit.org,Interest rate 11-15% p.a.,1-3 years
Rural Women Self-Help Group Program,Government,All,Female,OBC,Below Poverty Line,Rural,Empower Rural Women through SHGs,"Rural women, SHG membership","Microloans, capacity building",Apply through SHG federations or bank,https://shgempower.gov.in,Interest rates around 9-13%,1-3 years
Financial Inclusion through Post Offices,Government,All,All,All,All,All India,Leverage Post Office Network for Financial Services,Any Indian resident,"Savings, remittances, microinsurance",Visit Post Office or bank branches,https://postofficescheme.gov.in,N/A,Ongoing
Youth Entrepreneurship Program,Government,19-35,All,All,Middle,Urban and Rural,Foster Youth Entrepreneurship,"Young entrepreneurs, students","Funding, training, mentorship",Online application on portal,https://youthentrepreneurship.gov.in,N/A,N/A
Rural Skill Development Scheme,Government,19-60,All,All,Below Poverty Line,Rural,Skill Development for Rural Youth,Rural youth and women,"Training, employment support",Application at local training centers,https://ruralskill.gov.in,N/A,6 months to 1 year
Financial Literacy for Small Traders,Government,19-60,All,All,All,Urban,Financial Literacy for Small Traders,"Small traders, shopkeepers","Knowledge on banking, credit, insurance",Workshop participation or online modules,https://smalltraders.gov.in,N/A,Ongoing
Women’s Digital Banking Initiative,Government,19-60,Female,OBC,Middle,Urban,Promote Digital Banking among Women,Women with bank accounts,"Mobile banking, digital literacy",Training sessions at bank branches,https://womensdigital.gov.in,N/A,Ongoing
Agricultural Insurance Scheme,Government,All,All,All,Below Poverty Line,Rural,Insurance for Agricultural Risks,Farmers with insured land,"Crop insurance coverage, financial security",Through agriculture offices or banks,https://agriinsurance.gov.in,N/A,N/A
Financial Inclusion for Minority Communities,Government,All,All,Minority,Below Poverty Line,All India,Inclusive Financial Services for Minorities,Members of minority communities,"Bank accounts, microloans, insurance",Through designated banks and NGOs,https://minorityfinance.gov.in,N/A,Ongoing
Rural Electric Co-operative Loan,Government,36-60,All,All,Middle,Rural,Support for Rural Electrification,"Farmers, rural households",Loans for electrical installations,Application at cooperative or bank branches,https://ruralelectric.gov.in,Interest rate 6-8%,3-10 years
Digital Rural Market Linkages,Government,All,All,All,Below Poverty Line,Rural,Market Linkages for Rural Producers,"Rural producers, farmers","Access to markets, digital platforms",Registration with local agencies,https://ruralmarket.gov.in,N/A,N/A
